 ⚠️[FILE > MAKE A COPY] TO USE/EDIT⚠️,,,Main Missions,,,,,Gigs,,,
PERMANENTLY MISSABLE,,,,Weapon,Mission,Notes,,,Weapon,Gig,Notes
FALSE,Balls to the Wall | Frame Yuri,,FALSE,Widow Maker,Ghost Town,Defeat Nash,,FALSE,Volkodav,Waiting for Dodger,Hidden Atop Crate OR Black Market Dealer
FALSE,Dazed and Confused | Bring Tool Back to Normal,,DOWN ON THE STREET QUESTLINE,,,,,Hidden in World,,,
FALSE,No Easy Way Out | Accept Angelica Whelan's Deal,,FALSE,Prototype: Shingen Mark V,Gimme Danger,Exterior Loading Dock | Trailer 667,,,Name,Location,Notes
FALSE,Shot by Both Sides | Side w/ Bree,,FALSE,Genjiroh,Play It Safe,Floor 21 | 2906 | Also @ Arasaka Estate Act 2+,,FALSE,BFC 9000,Dam Viewpoint in Rancho Coronado,Crashed AV OR Black Market Dealer if Missed | Nudity ON
FALSE,Shot by Both Sides | Side w/ Dante,,FALSE,Jinchu-maru,Play It Safe,Defeat Sandayu Oda,,FALSE,Guts,Hidden Spot,---
FALSE,Prototype in the Scraper | Betray Mr. Hands OR Side w/ Zetatech,,ENDINGS,,,,,FALSE,Plan B,Municipal Landfill,Led There During KOLD MIRAGE
FALSE,Waiting for Dodger | Peaceful Conclusion,,FALSE,Prejudice,For Whom the Bell Tolls,Call Rogue | Afterlife,,PHANTOM LIBERTY,,,
Airdrops (Phantom Liberty) [Airdrop-Specific Checklist Here],,,FALSE,Caretaker's Spade,Knockin' on Heaven's Door,Call Rogue | Jungle Floor,,FALSE,Achilles x-MOD2,Hidden Spot,---
FALSE,Alabai,Near Brave Atlas,FALSE,Pride,Knockin' on Heaven's Door,Call Rogue | Entrance Gate After Smasher,,FALSE,Baseball Bat x-MOD2,Hidden Spot,---
FALSE,Borzaya,Brave Atlas | Complete Lucretia My Reflection + Garry Bates,FALSE,Amnesty,We Gotta Live Together,Call Panam | Beat Cassidy Righter,,FALSE,Claw x-MOD2,Hidden Spot,---
FALSE,Laika,Atop Los Osos Motel,FALSE,Ba Xing Chong,---,Loot Adam Smasher | Ebunike Locked Room,,FALSE,Cut-o-Matic x-MOD2,Hidden Spot,---
FALSE,Taigan,North Tower of Montezuma's Throne,PHANTOM LIBERTY,,,,,FALSE,Guillotine x-MOD2,Hidden Spot,---
Airdrops / Amazon Prime Reward,,,FALSE,Hawk,Lucretia My Reflection,Rosalind Myers Puts It Down,,FALSE,Kappa x-MOD2,Hidden Spot,Body (10) | Complete: Spy in the Jungle
FALSE,Amstaff,Any,FALSE,Her Majesty,Get It Together,---,,FALSE,Kyubi x-MOD2,Hidden Spot,---
FALSE,Catahoula,Any,FALSE,Rasetsu,You Know My Name,---,,FALSE,MA70 HB x-MOD2,Hidden Spot,Body (10)
FALSE,Chesapeake,Any,FALSE,NDI Osprey,Birds with Broken Wings,Alex's Armory,,FALSE,Pozhar x-MOD2,Hidden Spot,Only After 1 AM
FALSE,Chinook,Any,FALSE,Bald Eagle,Firestarter,Loot Hansen,,FALSE,Umbra x-MOD2,Hidden Spot,Only 2 - 5 AM
FALSE,Foxhound,Any,FALSE,Wild Dog,Firestarter,Loot Hansen,,,,,
FALSE,Pit Bull,Any,FALSE,Fang,Firestarter,Loot Hansen,,,,,
"""My Rewards"" Goodies",,,FALSE,Murphy's Law,Firestarter,Defeat Murphy,,,,,
FALSE,Black Unicorn,Register for My Rewards,FALSE,Crowbar,Somewhat Damaged,Body (20) Locked Door,,,,,
FALSE,Gwynbleidd,The Witcher 3: Wild Hunt,FALSE,Erebus,Somewhat Damaged,Loot Specs & Cerberus | Quest After PL Ends,,,,,
FALSE,Scorch,GWENT: The Witcher Card Game (MOD/CHEAT ONLY),FALSE,Pariah,The Killing Moon,Defeat Reed,,,,,
FALSE,Yasha,Twitch Subs Reward (MOD/CHEAT ONLY),Side Jobs,,,,,,,,
Suspected Organized Crime Activity,,,,Weapon,Side Job,Notes,,,,,
FALSE,Breakthrough,Rancho Coronado,JUDY'S STORYLINE,,,,,,,,
FALSE,Buzzsaw,Northside,FALSE,Death and Taxes,Ex-Factor,Maiko's Office OR Judy's Apartment OR Black Market Dealer,,,,,
FALSE,Comrade's Hammer,Arroyo,FALSE,Tsumetogi,Pisces,Take From Display OR Black Market Dealer,,,,,
FALSE,Moron Labe,West Wind Estate,FALSE,Mox,Pyramid Song,Judy's Apartment,,,,,
FALSE,Psalm 11:6,Northside,PANAM'S STORYLINE,,,,,,,,
FALSE,Sovereign,Japantown,FALSE,Overwatch,Riders on the Storm,Given by Panam,,,,,
FALSE,The Headsman,North Oak,FALSE,Problem Solver,Riders on the Storm,Loot Wraiths Boss Hunter OR Black Market Dealer,,,,,
FALSE,Yinglong,Wellsprings,FALSE,Stinger,I'll Fly Away,"AFTER Riders on the Storm, BEFORE Queen of the Highway",,,,,
Increased Criminal Activity (Phantom Liberty),,,RIVER'S STORYLINE,,,,,,,,
FALSE,Agaou,Voodoo Boys,FALSE,Tinker Bell,The Hunt,Farm Control Room OR Black Market Dealer,,,,,
FALSE,Raiju,BARGHEST,FALSE,Crash,Following the River,Given by River,,,,,
FALSE,Sparky,Scavengerss,JOHNNY/KERRY'S STORYLINE,,,,,,,,
Weapon Vendors,,,FALSE,Malorian Arms 3516,Chippin' In,Defeat Jeremiah Grayson,,,,,
FALSE,Blue Fang,Jackson Plains,FALSE,Doom Doom,Second Conflict,Looted from Dum Dum,,,,,
FALSE,Headhunter,West Wind Estate,FALSE,Gold-Plated Baseball Bat,Second Conflict,After Denny Tosses It,,,,,
FALSE,Order,Black Market Merchant,FALSE,Archangel,A Like Supreme,Given by Kerry,,,,,
,,,GENERAL (BASE GAME),,,,,,,,
,,,FALSE,O'Five,Beat on the Brat: Arroyo,Body (8) OR Antagonize After Victory,,,,,
,,,FALSE,Scalpel,Big in Japan,Reward For Completion,,,,,
,,,FALSE,Skippy,Machine Gun,Keep or Return | Gifted Back Later,,,,,
,,,FALSE,Fenrir,Sacrum Profanum,Near Captive Monk,,,,,
,,,FALSE,La Chingona Dorada,Heroes,"24 Hours After Completing ""Heroes"" | Return to Alter",,,,,
,,,FALSE,Lexington x-MOD2,Shoot To Thrill,Win The Shooting Competition,,,,,
,,,FALSE,Divided We Stand,Stadium Love,Beat Walker's Score OR Kill Them All,,,,,
,,,FALSE,Dying Night,The Gun,---,,,,,
,,,FALSE,Sir John Phallustiff,Venus in Furs,---,,,,,
,,,FALSE,Apparition,War Pigs (CORPO),Defeat Frank Nostra (CORPO) OR Black Market Dealer (NON-CORPO),,,,,
,,,GENERAL (PHANTOM LIBERTY),,,,,,,,
,,,FALSE,Carmen,Balls to the Wall,BEFORE Firestarter | Leave Dogtown / Call Favor / Just Kill Him,,,,,
,,,FALSE,Baby Boomer,Dazed and Confused,Sister OR Clone,,,,,
,,,FALSE,Cheetah,No Easy Way Out,Reject Angelica Whelan's Deal,,,,,
,,,FALSE,Mancinella,Run This Town,---,,,,,
,,,FALSE,Ol' Reliable,Shot by Both Sides,Loot Dante,,,,,
,,,FALSE,Riskit,Shot by Both Sides,If Side w/ Bree | Bree Places It Down,,,,,
,,,FALSE,Rook,Voodoo Treasure,941229 | Aesculapius Inc. Cache | Quest Bypassable,,,,,
